username,is active,followers in list,weight,
opentensor,1,137,4.547316384,
const_reborn,1,125,4.149011299,
BarrySilbert,1,114,3.783898305,
JosephJacks_,1,110,3.651129944,
mogmachine,1,103,3.418785311,
markjeffrey,1,96,3.186440678,
YumaGroup,1,94,3.120056497,
KeithSingery,1,93,3.086864407,
Old_Samster,1,90,2.987288136,
DreadBong0,1,89,2.954096045,
CryptoZPunisher,1,89,2.954096045,
rayon_labs,1,85,2.821327684,
bittingthembits,1,81,2.688559322,
mxmsbt,1,81,2.688559322,
MacrocosmosAI,1,78,2.588983051,
SiamKidd,1,76,2.52259887,
DistStateAndMe,1,76,2.52259887,
fish_datura,1,76,2.52259887,
here4impact,1,74,2.456214689,
CrucibleLabs,1,73,2.423022599,
0xPrismatic,1,71,2.356638418,
kenjonmiyachi,1,71,2.356638418,
taoshiio,1,71,2.356638418,
getmasafi,1,70,2.323446328,
macrocrux,1,68,2.257062147,
MessariCrypto,1,68,2.257062147,
tseutseutao,1,67,2.223870056,
DavFields,1,66,2.190677966,
EvanMalanga,1,65,2.157485876,
0xarrash,1,65,2.157485876,
DrocksAlex2,1,64,2.124293785,
TAOTemplar,1,64,2.124293785,
Grayscale,1,64,2.124293785,
Lazz_eth,1,64,2.124293785,
CreatorBid,1,63,2.091101695,
_taofi_,1,63,2.091101695,
jaltucher,1,63,2.091101695,
mikecontango,1,63,2.091101695,
pgpsam,1,62,2.057909605,
Cointelegraph,1,62,2.057909605,
ridges_ai,1,62,2.057909605,
xavi3rlu,1,60,1.991525424,
metanova_labs,1,60,1.991525424,
TaoIsTheKey,1,58,1.925141243,
21RoundTable,1,57,1.891949153,
Defi0xJeff,1,56,1.858757062,
proofoftalk,1,54,1.792372881,
markcreaser,1,54,1.792372881,
rob_svrn,1,53,1.759180791,
qBitTensor,1,53,1.759180791,
RvCrypto,1,53,1.759180791,
taofuxyz,1,53,1.759180791,
micaelabazo,1,53,1.759180791,
ch_egan,1,52,1.725988701,
coingecko,1,51,1.69279661,
LukitaTao,1,51,1.69279661,
angad_ai,1,51,1.69279661,
simplytao_,1,49,1.626412429,
FrankRizz07,1,49,1.626412429,
mentatminds,1,48,1.593220339,
allan_quantifi,1,48,1.593220339,
inference_labs,1,47,1.560028249,
bittensorai,1,47,1.560028249,
Neuralteq,1,47,1.560028249,
Victor_crypto_2,1,46,1.526836158,
BackpropFinance,1,45,1.493644068,
ExponentialReed,1,45,1.493644068,
S4mmyEth,1,44,1.460451977,
taoinsider,1,44,1.460451977,
richdotca,1,44,1.460451977,
AltcoinDaily,1,43,1.427259887,
AutoppiaAI,1,43,1.427259887,
RahulKumaran4,1,43,1.427259887,
dotkrueger,1,42,1.394067797,
coinbureau,1,41,1.360875706,
TalkingTensor,1,41,1.360875706,
dippy_ai,1,41,1.360875706,
dsvfund,1,41,1.360875706,
Route2FI,1,39,1.294491525,
fundstrat,1,37,1.228107345,
tao_dot_com,1,37,1.228107345,
taoapp_,1,36,1.194915254,
benzion_b,1,36,1.194915254,
learnbittensor,1,36,1.194915254,
BittensorIntern,1,35,1.161723164,
Rapido_ai,1,35,1.161723164,
SubnetSummerT,1,35,1.161723164,
Raleigh_CA,1,35,1.161723164,
dTAOfordummies,1,35,1.161723164,
TaoPortal,1,34,1.128531073,
austinsiggz98,1,34,1.128531073,
axionyu,1,33,1.095338983,
macrozack,1,33,1.095338983,
SatoshiFlipper,1,33,1.095338983,
TAOSynergies,1,33,1.095338983,
SiliconJose,1,33,1.095338983,
