id,display name,username,weight
950486928784228352,,Punk9277,4.76
1499585375534206980,,beast_ico,4.53
1394175945532055554,,yueya_eth,3.28
1467734865676312579,,xerocooleth,2.79
1755899659040555009,,theunipcs,2.67
762205930171670528,,Alvin0617,2.63
1416874867086045192,,VaderResearch,2.56
1501997405755088900,,waleswoosh,2.42
223921570,,S4mmyEth,2.37
141007481,,danielesesta,2.21
1441113712291581958,,0xWenMoon,1.87
1214757469785747457,,ripchillpill,1.8
1475014806025371651,,Jampzey,1.77
1242122729555292161,,Jtsong2,1.73
1460252469745782790,,Defi0xJeff,1.7
7808722,,anymose96,1.67
1365107025772875778,,ZKSgu,1.65
1482640180855160832,,banditxbt,1.6
1362967156825018369,,BroLeonAus,1.49
607591295,,Hydraze420,1.48
922627285437513728,,softlipa1018,1.46
3078211361,,TimHaldorsson,1.42
1481568237624393730,,eli5_defi,1.39
1858126931469996032,,HeyAnonai,1.38
1341662614313525248,,sandraaleow,1.38
1466288716348293120,,metaio102,1.34
1539901494530809856,,one_snowball,1.33
1364886230656114692,,wenxue600,1.31
1385900937051475974,,charles48011843,1.24
4900102269,,vohvohh,1.23
896645563948691456,,Slappjakke,1.22
1434775696048476162,,wang_xiaolou,1.18
1567852914605182977,,WY_mask,1.13
1428197508547629068,,iamyourchaos,1.13
1328686769508732929,,0xBeyondLee,1.12
1460167107203592193,,vvickym2,1.12
1355075567054417920,,wals_eth,1.09
236804287,,MacroCRG,1.08
25508067,,starzqeth,1.07
1529700919238987776,,Smokey_titan,1.05
983780071608594433,,blockTVBee,0.88
1478404369879953408,,Metabape,0.86
1456891312230506496,,Tanaka_L2,0.85
1445222248902651906,,wanghebbf,0.83
2882819127,,templecrash,0.82
1056818658,,CryptoPainter_X,0.8
64359118,,ZF_lab,0.8
1674568302625009666,,katexbt,0.78
1299523632868110338,,0xPrismatic,0.76
1456142714756468738,,Chilearmy123,0.75
952006146268782592,,0xBiZzy,0.74
1512594021654401027,,the_smart_ape,0.74
153638621,,nikokampouris,0.73
87847949,,youfadedwealth,0.73
1517008053614555137,,0xAbhiP,0.68
4261863792,,off_thetarget,0.66
1490949502261665792,,yuyue_chris,0.66
1864452692221022210,,bankrbot,0.63
2469925958,,dtrain22k,0.62
1345108752534368257,,momochenming,0.62
92839361,,zhuanfgghjnb,0.62
924134809,,0x_ultra,0.61
46801378,,Xeer,0.61
40134343,,Tyler_Did_It,0.6
1600230048572792846,,sjdedic,0.57
55993379,,0xultra,0.56
1516641037476761601,,quan_eth,0.56
261546419,,JosephJacks,0.55
1056304242812743680,,DreadBong0,0.53
1461601592377950211,,TUGE8888,0.51
973261472,,blknoiz06,0.5
947892535153786880,,Mikesi30,0.49
1414021381298089984,,0xDeployer,0.47
1482116616632602627,,kurorosage,0.47
295218901,,VitalikButerin,0.46
81185431,,ilblackdragon,0.46
1521321995795058689,,Ru7Longcrypto,0.45
1478495667031089161,,Deebs_DeFi,0.45
1406610036500033540,,yellowpantherx,0.44
1373788838250876928,,Flowslikeosmo,0.43
1430887571148611588,,everythingempt0,0.43
1429654676002131968,,CalmanBTC,0.42
864011281,,KookCapitalLLC,0.42
1852674305517342720,,aixbt_agent,0.41
1577290996026511360,,arndxt_xo,0.41
1306891926881280000,,0xAndrewMoh,0.4
61417559,,ErikVoorhees,0.39
1891647168441876484,,VannaCharmer,0.39
3369243892,,farokh,0.39
1462835040363040768,,10000BRC,0.39
574598857,,legendarygainz_,0.39
1448318145177919489,,0xCheeezzyyyy,0.38
1608336380555591680,,Airdrop_Guard,0.38
1377582938934669315,,gozde_ekz,0.38
1283227879698907136,,sleepy0x13,0.38
1423097842034528257,,EasyEatsBodega,0.37
1646945251305873408,,JamesWynnReal,0.37
1389597177887002627,,yb_effect,0.37
1262818098035462144,,imperooterxbt,0.36
1378756322041196552,,zaimiriQ,0.35
1583859576793071616,,LeotheHorseman,0.35
1442176296356696064,,0xNairolf,0.33
1648999932,,JosephJacks_,0.33
458547789,,blendino_,0.33
1498530697,,brodydotai,0.33
918957305571528705,,CryptosBatman,0.32
1054149844384669696,,himgajria,0.32
14101591,,econoar,0.31
210831184,,eeelistar,0.31
1517019938812178432,,0xjunkim,0.3
1435425854344077315,,abruzuc,0.29
1485029520029765633,,ghost93_x,0.29
3220205428,,tong0x,0.29
841016244270706688,,tradinglord,0.29
1287576585353039872,,0xCygaar,0.28
1580920578411839489,,DeFiMinty,0.28
1328666264449867777,,0xKevin00,0.28
2560485954,,docXBT,0.28
200778040,,riotboy2024,0.28
1395727427935027201,,BCheque1,0.27
1503259657892429828,,Rav_Hedda,0.27
1401718840535379970,,hellosuoha,0.27
11392102,,markjeffrey,0.27
174981490,,mrjasonchoi,0.27
2545086098,,RookieXBT,0.26
1500166468851412998,,StarPlatinumSOL,0.26
3406202350,,sal_hotpot666,0.26
993430580883742720,,xueqiu88,0.26
13949232,,ai,0.25
1351139954525696005,,beaniemaxi,0.25
22110973,,goodalexander,0.25
14592709,,jbrukh,0.25
3461792896,,0xakylles,0.24
1342386913,,73lV_,0.24
1373657430521868295,,Edward__Park,0.24
1403761673060618244,,crypto__kermit,0.24
629466946,,gkisokay,0.24
1425172712138358793,,onchainmo,0.24
1468707533670039560,,raidenkrn,0.24
1485245285924282369,,belizardd,0.23
1412347670245511183,,cutepandaweb3,0.23
969355945645039616,,emilyxlai,0.22
,,shawmakesmagic,0.22
1470958472409792515,,a1lon9,0.21
1816291840682803201,,ibuyrugs,0.21
