id,display name,username,weight
,,Punk9277,4.76
,,beast_ico,4.53
,,yueya_eth,3.28
,,xerocooleth,2.79
,,theunipcs,2.67
,,Alvin0617,2.63
,,VaderResearch,2.56
,,waleswoosh,2.42
,,S4mmyEth,2.37
,,danielesesta,2.21
,,0xWenMoon,1.87
,,ripchillpill,1.8
,,Jampzey,1.77
,,Jtsong2,1.73
,,Defi0xJeff,1.7
,,anymose96,1.67
,,ZKSgu,1.65
,,banditxbt,1.6
,,BroLeonAus,1.49
,,Hydraze420,1.48
,,softlipa1018,1.46
,,TimHaldorsson,1.42
,,eli5_defi,1.39
,,HeyAnonai,1.38
,,sandraaleow,1.38
,,metaio102,1.34
,,one_snowball,1.33
,,wenxue600,1.31
,,charles48011843,1.24
,,vohvohh,1.23
,,Slappjakke,1.22
,,wang_xiaolou,1.18
,,WY_mask,1.13
,,iamyourchaos,1.13
,,0xBeyondLee,1.12
,,vvickym2,1.12
,,wals_eth,1.09
,,MacroCRG,1.08
,,starzqeth,1.07
,,Smokey_titan,1.05
,,blockTVBee,0.88
,,Metabape,0.86
,,Tanaka_L2,0.85
,,wanghebbf,0.83
,,templecrash,0.82
,,CryptoPainter_X,0.8
,,ZF_lab,0.8
,,katexbt,0.78
,,0xPrismatic,0.76
,,Chilearmy123,0.75
,,0xBiZzy,0.74
,,the_smart_ape,0.74
,,nikokampouris,0.73
,,youfadedwealth,0.73
,,0xAbhiP,0.68
,,off_thetarget,0.66
,,yuyue_chris,0.66
,,bankrbot,0.63
,,dtrain22k,0.62
,,momochenming,0.62
,,zhuanfgghjnb,0.62
,,0x_ultra,0.61
,,Xeer,0.61
,,Tyler_Did_It,0.6
,,sjdedic,0.57
,,0xultra,0.56
,,quan_eth,0.56
,,JosephJacks,0.55
,,DreadBong0,0.53
,,TUGE8888,0.51
,,blknoiz06,0.5
,,Mikesi30,0.49
,,0xDeployer,0.47
,,kurorosage,0.47
,,VitalikButerin,0.46
,,ilblackdragon,0.46
,,Ru7Longcrypto,0.45
,,Deebs_DeFi,0.45
,,yellowpantherx,0.44
,,Flowslikeosmo,0.43
,,everythingempt0,0.43
,,CalmanBTC,0.42
,,KookCapitalLLC,0.42
,,aixbt_agent,0.41
,,arndxt_xo,0.41
,,0xAndrewMoh,0.4
,,ErikVoorhees,0.39
,,VannaCharmer,0.39
,,farokh,0.39
,,10000BRC,0.39
,,legendarygainz_,0.39
,,0xCheeezzyyyy,0.38
,,Airdrop_Guard,0.38
,,gozde_ekz,0.38
,,sleepy0x13,0.38
,,EasyEatsBodega,0.37
,,JamesWynnReal,0.37
,,yb_effect,0.37
,,imperooterxbt,0.36
,,zaimiriQ,0.35
,,LeotheHorseman,0.35
,,0xNairolf,0.33
,,JosephJacks_,0.33
,,blendino_,0.33
,,brodydotai,0.33
,,CryptosBatman,0.32
,,himgajria,0.32
,,econoar,0.31
,,eeelistar,0.31
,,0xjunkim,0.3
,,abruzuc,0.29
,,ghost93_x,0.29
,,tong0x,0.29
,,tradinglord,0.29
,,0xCygaar,0.28
,,DeFiMinty,0.28
,,0xKevin00,0.28
,,docXBT,0.28
,,riotboy2024,0.28
,,BCheque1,0.27
,,Rav_Hedda,0.27
,,hellosuoha,0.27
,,markjeffrey,0.27
,,mrjasonchoi,0.27
,,RookieXBT,0.26
,,StarPlatinumSOL,0.26
,,sal_hotpot666,0.26
,,xueqiu88,0.26
,,ai,0.25
,,beaniemaxi,0.25
,,goodalexander,0.25
,,jbrukh,0.25
,,0xakylles,0.24
,,73lV_,0.24
,,Edward__Park,0.24
,,crypto__kermit,0.24
,,gkisokay,0.24
,,onchainmo,0.24
,,raidenkrn,0.24
,,belizardd,0.23
,,cutepandaweb3,0.23
,,emilyxlai,0.22
,,shawmakesmagic,0.22
,,a1lon9,0.21
,,ibuyrugs,0.21
